MCCID_INT,MCCID_STR,FEATURENAM,Longitude,Latitude,startDate,
18,Col12_T,Collins Place (North),144.9730535,-37.81344861,01-07-2009,
6,FliS_T,Flinders Street Station Underpass,144.9655826,-37.81911704,01-07-2009,
5,PriNW_T,Princes Bridge,144.9678766,-37.81874249,01-07-2009,
7,Fed_T,Birrarung Marr,144.9714148,-37.81832375,01-07-2009,
4,Swa123_T,Town Hall (West),144.9660878,-37.81487988,01-07-2009,
16,Col270_T,Australia on Collins,144.9652104,-37.81573423,01-07-2009,
17,Col15_T,Collins Place (South),144.9732359,-37.81362542,01-07-2009,
2,Bou283_T,Bourke Street Mall (South),144.9651672,-37.81380667,01-07-2009,
3,Swa295_T,Melbourne Central,144.9642949,-37.81101523,01-07-2009,
15,QV_T,State Library,144.9644713,-37.81064378,01-07-2009,
13,Wil277_T,Flagstaff Station,144.9565265,-37.81239679,01-07-2009,
11,WatCit_T,Waterfront City,144.9397069,-37.81564989,01-07-2009,
12,NewQ_T,New Quay,144.942924,-37.81457987,01-07-2009,
10,BouHbr_T,Victoria Point,144.9471055,-37.81876473,01-07-2009,
8,WebBN_T,Webb Bridge,144.9471751,-37.82293543,01-07-2009,
9,Col700_T,Southern Cross Station,144.9510256,-37.81982992,01-07-2009,
1,Bou292_T,Bourke Street Mall (North),144.9651532,-37.8134944,01-07-2009,
23,Col623_T,Spencer St-Collins St (South),144.9545275,-37.81909256,01-10-2013,
24,Col620_T,Spencer St-Collins St (North),144.954492,-37.81887962,01-10-2013,
36,Que85_T,Queen St (West),144.9612106,-37.81652527,21-02-2015,
22,Eli274_T,Flinders St-Elizabeth St (East),144.9650682,-37.81786445,01-10-2013,
21,Rus180_T,Bourke St-Russell St (West),144.9677876,-37.81244703,01-10-2013,
28,VAC_T,The Arts Centre,144.9687931,-37.82129924,01-10-2013,
29,AG_T,St Kilda Rd-Alexandra Gardens,144.9686345,-37.81965808,11-11-2013,
33,Spr13_T,Flinders St-Spring St (West),144.9745406,-37.81483252,23-05-2014,
25,MCEC_T,Melbourne Convention Exhibition Centre,144.9560443,-37.82401776,01-10-2013,
35,SouthB_T,Southbank,144.9650888,-37.82017828,12-05-2016,
26,Eli483_T,QV Market-Elizabeth St (West),144.960494,-37.80869542,01-10-2013,
31,Lyg161_T,Lygon St (West),144.9665891,-37.8016968,01-04-2014,
30,Lon189_T,Lonsdale St (South),144.9665681,-37.81121849,01-04-2014,
19,LtB210_T,Chinatown-Swanston St (North),144.9655067,-37.81237202,01-10-2013,
20,LtB170_T,Chinatown-Lt Bourke St (South),144.9682466,-37.81172913,01-10-2013,
27,Vic_T,QV Market-Peel St,144.9564469,-37.80606888,01-10-2013,
32,CSq_T,City Square,144.9668572,-37.81573742,20-01-2014,
34,Fli32_T,Flinders St-Spark La,144.9741505,-37.81537985,08-07-2014,
37,Lyg260_T,Lygon St (East),144.9667145,-37.80310271,06-03-2014,
14,SanBri_T,Sandridge Bridge,144.962919,-37.82011242,01-07-2009,
40,Spr201_T,Lonsdale St-Spring St (West),144.9722759,-37.80999341,21-02-2015,
39,AlfPl_T,Alfred Place,144.9699575,-37.81379749,29-09-2014,
41,Swa31,Flinders La-Swanston St (West),144.9668973,-37.81668633,29-07-2017,
42,UM1_T,Grattan St-Swanston St (West),144.9638641,-37.80008565,14-05-2015,
43,UM2_T,Monash Rd-Swanston St (West),144.9641178,-37.79844525,14-05-2015,
44,UM3_T,Tin Alley-Swanston St (West),144.9644038,-37.79690473,14-05-2015,
38,Swa11_T,Flinders St-Swanston St (West),144.9671503,-37.81723437,05-01-2015,
45,Swa148_T,Little Collins St-Swanston St (East),144.9660938,-37.81414074,29-07-2017,
46,Pel147_T,Pelham St (South),144.9615673,-37.80240719,08-09-2017,
47,Eli250_T,Melbourne Central-Elizabeth St (East),144.9622008,-37.81160331,25-09-2017,
48,QVMQ_T,QVM-Queen St (East),144.958667,-37.80631581,03-11-2017,
49,Eli501_T,QVM-Therry St (South),144.9595606,-37.80730067,30-12-2017,
50,Lyg309_T,Faraday St-Lygon St (West),144.9672101,-37.79808191,01-01-2018,
51,Fra118_T,QVM-Franklin St (North),144.9590632,-37.80841814,01-01-2018,
52,Eli263_T,Elizabeth St-Lonsdale St (South),144.9619401,-37.81252157,01-09-2017,
